"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
158242,"SYLVOX","BT32A7KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158245,"JVC","LT40N7145A","Australia","LCD (LED)",64.06,3.5,"43 inch"
153945,"EKO","K55USWQ","Australia,Fiji,New Zealand","LCD (LED)",117.3,3.5,"50 inch"
153945,"EKO","K55USWQ2","Australia,Fiji,New Zealand","LCD (LED)",117.3,3.5,"50 inch"
146150,"EKO","K320HSG","Australia","LCD (LED)",34.4,4,"32 inch"
146150,"EKO","K320HAT","Australia","LCD (LED)",34.4,4,"32 inch"
158252,"LINSAR","LS32HDNF23","Australia,Fiji,New Zealand","LCD",23.8,6,"32 inch"
146104,"EKO","K240HSG","Australia","LCD (LED)",27.3,3.5,"22 inch"
146104,"EKO","K240HAT","Australia","LCD (LED)",27.3,3.5,"22 inch"
158250,"SAMSUNG ELECTRONICS","QA43QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",63,4.5,"43 inch"
158250,"SAMSUNG ELECTRONICS","QA43QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",63,4.5,"43 inch"
158250,"SAMSUNG ELECTRONICS","QA43QN90DA","Australia,Fiji,New Zealand","LCD (LED)",63,4.5,"43 inch"
158256,"AKAI","AK3223S7WOS","Australia,Fiji,New Zealand","LCD",23.8,6,"32 inch"
158314,"BAUHN","ATV75UHDW0324","Australia,Fiji,New Zealand","LCD (LED)",117.61,6,"65 inch"
158329,"SONY","K55XR70","Australia,New Zealand","LCD (LED)",148,2.5,"50 inch"
158330,"SONY","K65XR70","Australia,New Zealand","LCD (LED)",171.9,3.5,"55 inch"
158336,"LG","50QNED80T6A","Australia,New Zealand","LCD (LED)",68,5.5,"50 inch"
158337,"LG","55QNED80T6A","Australia,New Zealand","LCD (LED)",87,5,"50 inch"
158394,"KOGAN","KALED42F98TA","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158394,"KOGAN","KALED42F98TB","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158394,"KOGAN","KALED42F98TC","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158394,"KOGAN","KALED42F98TD","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
